,group_stage,ro8,ro4,second,first
trap,0.295,0.2855666666666667,0.17486666666666667,0.10863333333333333,0.13593333333333332
zest,0.4075,0.2821666666666667,0.1564,0.0822,0.07173333333333333
dream,0.7553,0.18526666666666666,0.04953333333333333,0.008566666666666667,0.0013333333333333333
zoun,0.4366333333333333,0.2816666666666667,0.14893333333333333,0.0723,0.06046666666666667
innovation,0.3475666666666667,0.28826666666666667,0.1643,0.0964,0.10346666666666667
armani,0.7281333333333333,0.19976666666666668,0.05826666666666667,0.011333333333333334,0.0025
rogue,0.42246666666666666,0.2838,0.15663333333333335,0.07973333333333334,0.05736666666666667
solar,0.459,0.27576666666666666,0.15126666666666666,0.06843333333333333,0.045533333333333335
hurricane,0.8302666666666667,0.13796666666666665,0.027766666666666665,0.003766666666666667,0.00023333333333333333
sos,0.5425333333333333,0.2656,0.12036666666666666,0.04636666666666667,0.025133333333333334
bunny,0.6766666666666666,0.23143333333333332,0.0713,0.0168,0.0038
cure,0.35986666666666667,0.2813,0.17036666666666667,0.09336666666666667,0.0951
ty,0.4354,0.2826666666666667,0.15193333333333334,0.0747,0.0553
maru,0.2387,0.25956666666666667,0.16336666666666666,0.1199,0.21846666666666667
dark,0.31806666666666666,0.27886666666666665,0.17703333333333332,0.10546666666666667,0.12056666666666667
dongraegu,0.7469,0.18033333333333335,0.057666666666666665,0.012033333333333333,0.0030666666666666668
