,ro24_groups,ro16_groups,ro8,ro4,second,first
serral,0,7758,8134,5387,3653,5068
clem,0,6333,7173,4947,3667,7880
reynor,0,9658,8489,5140,3137,3576
maru,0,10386,8456,5011,3066,3081
dark,12982,9195,4462,2126,796,439
solar,11467,9198,5134,2473,1079,649
cure,10167,9212,5453,2859,1325,984
heromarine,12781,9642,4486,1999,718,374
trap,8897,8786,5956,3206,1771,1384
innovation,7577,8416,6276,3644,2098,1989
stats,9530,9154,5752,3094,1432,1038
rogue,12034,9142,4860,2358,1043,563
zest,10816,9154,5225,2720,1212,873
byun,10959,9558,5232,2509,1133,609
showtime,11070,9479,5229,2644,1075,503
parting,13783,9137,4127,1857,707,389
ty,15466,9316,3370,1306,407,135
bunny,18798,8574,2051,478,84,15
zoun,14051,9810,3949,1548,500,142
dream,22001,6831,945,208,11,4
elazer,21335,7164,1232,233,33,3
sos,13636,9535,4130,1842,616,241
maxpax,16970,9145,2835,841,177,32
lambo,20827,7393,1431,299,46,4
neeb,20593,7439,1546,360,57,5
ragnarok,18192,8768,2278,622,124,16
armani,23959,5212,711,101,14,3
astrea,22109,6605,1078,188,19,1
