,group_stage,ro12,ro8,fourth,third,second,first
serral,0.1754,0.1395,0.24623333333333333,0.05316666666666667,0.10623333333333333,0.1077,0.15963333333333332
clem,0.1419,0.11243333333333333,0.22843333333333332,0.042333333333333334,0.10753333333333333,0.11456666666666666,0.24183333333333334
reynor,0.2533666666666667,0.16723333333333334,0.23446666666666666,0.05503333333333333,0.08646666666666666,0.08796666666666667,0.10333333333333333
maru,0.2723,0.17276666666666668,0.23706666666666668,0.059333333333333335,0.07976666666666667,0.07896666666666667,0.08693333333333333
dark,0.4977,0.18273333333333333,0.1716,0.04683333333333333,0.0332,0.0336,0.017266666666666666
solar,0.44416666666666665,0.1912,0.1934,0.05056666666666667,0.0409,0.04156666666666667,0.0245
cure,0.40646666666666664,0.18336666666666668,0.20623333333333332,0.05293333333333333,0.05043333333333333,0.0479,0.0398
heromarine,0.5151,0.19193333333333334,0.16643333333333332,0.04153333333333333,0.028666666666666667,0.028433333333333335,0.012833333333333334
trap,0.3511,0.18373333333333333,0.2213,0.05616666666666666,0.059833333333333336,0.0601,0.05296666666666667
innovation,0.2954333333333333,0.17233333333333334,0.23933333333333334,0.059033333333333333,0.07353333333333334,0.0735,0.0764
stats,0.37696666666666667,0.18833333333333332,0.21623333333333333,0.0563,0.0573,0.053,0.0388
rogue,0.45886666666666664,0.1859,0.18706666666666666,0.05023333333333333,0.04086666666666667,0.03983333333333333,0.0228
zest,0.4093333333333333,0.1898,0.20003333333333334,0.05386666666666667,0.049633333333333335,0.048766666666666666,0.03403333333333333
byun,0.44083333333333335,0.1944,0.1947,0.0511,0.0387,0.04006666666666667,0.0259
showtime,0.4454666666666667,0.1911,0.19263333333333332,0.05213333333333333,0.041466666666666666,0.041133333333333334,0.020666666666666667
parting,0.5082,0.189,0.16633333333333333,0.043633333333333336,0.0291,0.030533333333333332,0.015933333333333334
ty,0.5922,0.18163333333333334,0.13316666666666666,0.037533333333333335,0.016233333333333332,0.015733333333333332,0.007266666666666667
bunny,0.7569,0.14466666666666667,0.06576666666666667,0.0127,0.003,0.0027,0.0005666666666666667
zoun,0.5637333333333333,0.1874,0.14373333333333332,0.041133333333333334,0.021433333333333332,0.020033333333333334,0.007066666666666666
dream,0.8531333333333333,0.09583333333333334,0.032466666666666665,0.005066666666666666,0.0008333333333333334,0.0006666666666666666,0.0
elazer,0.8552,0.09546666666666667,0.03163333333333333,0.005066666666666666,0.0009333333333333333,0.0006666666666666666,6.666666666666667e-05
sos,0.5379333333333334,0.19003333333333333,0.15536666666666665,0.04253333333333333,0.024833333333333332,0.0238,0.009433333333333334
maxpax,0.6878333333333333,0.16626666666666667,0.09283333333333334,0.023133333333333332,0.007066666666666666,0.0068,0.0017666666666666666
lambo,0.8278,0.10293333333333334,0.043533333333333334,0.008633333333333333,0.002033333333333333,0.0019666666666666665,0.0002
