,player,group_stage,ro16,ro8,fourth,third,second,first,position,rating,race,first_rank,rating_rank,pos_diff,rank_diff
0,serral,738,772,3836,329,2691,2921,18713,1,2.25782796359235,Z,1.0,1.0,0.0,0
1,maru,6275,5186,8001,1899,2970,2967,2702,5,1.9841771949592266,T,2.0,5.0,3.0,1
2,dark,5877,4779,8268,1892,3375,3597,2212,3,2.00442560459105,Z,3.0,3.0,0.0,0
3,cure,8655,5904,7611,2019,2193,2167,1451,2,2.0086539235029375,T,4.0,2.0,-2.0,-1
4,reynor,8013,5979,7876,2165,2480,2423,1064,4,1.9918686384889694,Z,5.0,4.0,-1.0,-1
5,zest,9602,5910,7412,2105,2212,2207,552,11,1.7261692520828946,P,6.0,10.0,4.0,1
6,rogue,10688,6401,7300,1960,1605,1585,461,6,1.8354307080365453,Z,7.0,6.0,-1.0,-1
7,soo,11322,6501,6929,1781,1587,1521,359,14,1.6950314786443146,Z,8.0,12.0,4.0,1
8,ty,12059,6510,6565,1849,1363,1306,348,7,1.830859909107059,T,9.0,7.0,-2.0,-1
9,sos,12274,6368,6326,1728,1434,1524,346,22,1.5906710345222308,P,10.0,18.0,8.0,1
10,solar,11361,6394,7058,1849,1545,1455,338,8,1.8237442889934539,Z,11.0,8.0,-3.0,-1
11,innovation,13246,6611,6124,1657,1050,992,320,12,1.7163691720879999,T,12.0,11.0,-1.0,-1
12,parting,11945,6462,6646,1847,1419,1379,302,19,1.6021543251597201,P,13.0,16.0,3.0,1
13,trap,12939,6251,6256,1633,1289,1341,291,15,1.687618841226908,P,14.0,13.0,-1.0,-1
14,stats,13174,6983,6243,1546,953,914,187,9,1.7428557587556066,P,15.0,9.0,-6.0,-1
15,dear,14514,6425,5636,1478,912,864,171,18,1.6078135975818055,P,16.0,15.0,-1.0,-1
16,showtime,15158,6761,5321,1280,671,649,160,16,1.6806734280966646,P,17.0,14.0,-3.0,-1
17,elazer,19608,6122,3276,598,216,159,21,21,1.592395153150795,Z,18.0,17.0,-1.0,-1
18,special,24635,3818,1320,192,20,14,1,25,1.4720176748780742,T,19.5,19.0,-0.5,-1
19,armani,27273,2228,442,51,4,1,1,39,1.3402124116744507,Z,19.5,21.0,1.5,1
20,lambo,26445,2843,621,78,6,7,0,35,1.3710474690664167,Z,22.5,20.0,-2.5,-1
21,patience,27494,2011,447,42,3,3,0,49,1.2732087108520196,P,22.5,22.0,-0.5,-1
22,has,28259,1475,250,13,1,2,0,55,1.203023682096996,P,22.5,24.0,1.5,1
23,hurricane,28446,1306,236,9,1,2,0,51,1.230229005258395,P,22.5,23.0,0.5,1
