,player,group_stage,ro12,ro8,fourth,third,second,first,ro4,position,rating,race,first_rank,rating_rank,pos_diff,group_exit,group_exit_perc,group_stage_perc,ro12_perc,ro8_perc,ro4_perc,second_perc,first_perc
0,clem,4586,3373,6853,1270,3226,3437,7255,4496,1,2.2863100150712072,T,1.0,1.0,0.0,25414,84.71333333333332,0.15286666666666668,0.11243333333333333,0.22843333333333332,0.14986666666666668,0.11456666666666666,0.24183333333333334
1,serral,5626,4185,7387,1595,3187,3231,4789,4782,2,2.273713905833976,Z,2.0,2.0,0.0,24374,81.24666666666667,0.18753333333333333,0.1395,0.24623333333333333,0.1594,0.1077,0.15963333333333332
2,reynor,7965,5017,7034,1651,2594,2639,3100,4245,3,2.1332092070752133,Z,3.0,3.0,0.0,22035,73.45,0.2655,0.16723333333333334,0.23446666666666666,0.1415,0.08796666666666667,0.10333333333333333
3,maru,8555,5183,7112,1780,2393,2369,2608,4173,4,2.1047815511891206,T,4.0,4.0,0.0,21445,71.48333333333333,0.2851666666666667,0.17276666666666668,0.23706666666666668,0.1391,0.07896666666666667,0.08693333333333333
4,innovation,9176,5170,7180,1771,2206,2205,2292,3977,7,2.01286041744746,T,5.0,7.0,2.0,20824,69.41333333333334,0.3058666666666667,0.17233333333333334,0.23933333333333334,0.13256666666666667,0.0735,0.0764
5,trap,10977,5512,6639,1685,1795,1803,1589,3480,6,2.019224357340777,P,6.0,6.0,0.0,19023,63.41,0.3659,0.18373333333333333,0.2213,0.116,0.0601,0.05296666666666667
6,cure,12580,5501,6187,1588,1513,1437,1194,3101,5,2.019391324480494,T,7.0,5.0,-2.0,17420,58.06666666666666,0.41933333333333334,0.18336666666666668,0.20623333333333332,0.10336666666666666,0.0479,0.0398
7,stats,11701,5650,6487,1689,1719,1590,1164,3408,8,1.99557556513924,P,8.0,8.0,0.0,18299,60.99666666666666,0.39003333333333334,0.18833333333333332,0.21623333333333333,0.1136,0.053,0.0388
8,zest,12716,5694,6001,1616,1489,1463,1021,3105,14,1.9379391939181478,P,9.0,14.0,5.0,17284,57.61333333333334,0.42386666666666667,0.1898,0.20003333333333334,0.1035,0.048766666666666666,0.03403333333333333
9,byun,13654,5832,5841,1533,1161,1202,777,2694,13,1.9463576214192688,T,10.0,13.0,3.0,16346,54.48666666666667,0.45513333333333333,0.1944,0.1947,0.0898,0.04006666666666667,0.0259
10,solar,13736,5736,5802,1517,1227,1247,735,2744,9,1.9915820442905623,Z,11.0,9.0,-2.0,16264,54.21333333333334,0.45786666666666664,0.1912,0.1934,0.09146666666666667,0.04156666666666667,0.0245
11,rogue,14199,5577,5612,1507,1226,1195,684,2733,11,1.969161645627336,Z,12.0,11.0,-1.0,15801,52.669999999999995,0.4733,0.1859,0.18706666666666666,0.0911,0.03983333333333333,0.0228
12,showtime,13826,5733,5779,1564,1244,1234,620,2808,16,1.8734947689891495,P,13.0,16.0,3.0,16174,53.913333333333334,0.46086666666666665,0.1911,0.19263333333333332,0.0936,0.041133333333333334,0.020666666666666667
13,dark,15443,5482,5148,1405,996,1008,518,2401,10,1.974125740992733,Z,14.0,10.0,-4.0,14557,48.52333333333333,0.5147666666666667,0.18273333333333333,0.1716,0.08003333333333333,0.0336,0.017266666666666666
14,parting,15764,5670,4990,1309,873,916,478,2182,15,1.883635778504684,P,15.0,15.0,0.0,14236,47.45333333333333,0.5254666666666666,0.189,0.16633333333333333,0.07273333333333333,0.030533333333333332,0.015933333333333334
15,heromarine,15905,5758,4993,1246,860,853,385,2106,12,1.9473412772521153,T,16.0,12.0,-4.0,14095,46.983333333333334,0.5301666666666667,0.19193333333333334,0.16643333333333332,0.0702,0.028433333333333335,0.012833333333333334
16,sos,16620,5701,4661,1276,745,714,283,2021,22,1.7436141477600144,P,17.0,22.0,5.0,13380,44.6,0.554,0.19003333333333333,0.15536666666666665,0.06736666666666667,0.0238,0.009433333333333334
17,ty,18253,5449,3995,1126,487,472,218,1613,17,1.8546118294624268,T,18.0,17.0,-1.0,11747,39.156666666666666,0.6084333333333334,0.18163333333333334,0.13316666666666666,0.053766666666666664,0.015733333333333332,0.007266666666666667
18,zoun,17376,5622,4312,1234,643,601,212,1877,18,1.7958012978261488,P,19.0,18.0,-1.0,12624,42.08,0.5792,0.1874,0.14373333333333332,0.06256666666666667,0.020033333333333334,0.007066666666666666
19,maxpax,21064,4988,2785,694,212,204,53,906,23,1.734062620748638,P,20.0,23.0,3.0,8936,29.786666666666665,0.7021333333333334,0.16626666666666667,0.09283333333333334,0.0302,0.0068,0.0017666666666666666
20,bunny,23118,4340,1973,381,90,81,17,471,19,1.7914522992110637,T,21.0,19.0,-2.0,6882,22.939999999999998,0.7706,0.14466666666666667,0.06576666666666667,0.0157,0.0027,0.0005666666666666667
21,lambo,25221,3088,1306,259,61,59,6,320,24,1.7006868879616304,Z,22.0,24.0,2.0,4779,15.93,0.8407,0.10293333333333334,0.043533333333333334,0.010666666666666666,0.0019666666666666665,0.0002
22,elazer,25985,2864,949,152,28,20,2,180,20,1.7640409808891206,Z,23.0,20.0,-3.0,4015,13.383333333333333,0.8661666666666666,0.09546666666666667,0.03163333333333333,0.006,0.0006666666666666666,6.666666666666667e-05
23,dream,25954,2875,974,152,25,20,0,177,21,1.7620825548134833,T,24.0,21.0,-3.0,4046,13.486666666666666,0.8651333333333333,0.09583333333333334,0.032466666666666665,0.0059,0.0006666666666666666,0.0
